"Dmel","Species","Total","Retroelements","LINEs","SINEs","Penelope","LTR","DNA_transposons","Pao","Copia","Gypsy","SpeciesName"
0.91,"Dinn",16.57,7.72,1.19,0,0,6.53,8.07,0,0.43,1.25,"D.innubila"
3.84,"Dins",29.26,25.73,7.77,0,0,17.97,3.34,0.39,0.22,7.74,"D.insularis"
2.36,"Djam",21.62,17.67,5.05,0,0,12.61,3.73,0.05,0.06,3.92,"D.jambulina"
0.43,"Dkam",12.11,5.31,1.78,0,0,3.54,6.64,0.04,0,1.48,"D.kambysellisi"
1.65,"Dkane",23.1,17.11,3.15,0,0,13.96,5.73,0.06,0,2.07,"D.kanekoi"
0.73,"Dkep",11.65,4.13,1.1,0,0,3.03,7.39,0,0.07,0.81,"D.kepulauana"
2.44,"Dkik",29.7,25.26,5.96,0,0,19.3,4.33,0.59,0.33,6.88,"D.kikkawai"
0.78,"Dkoh",10.5,6.77,3.53,0,0,3.24,3.6,0,0.05,1.22,"D.kohkoa"
0.28,"Dkok",6.46,3.83,1.92,0,0,1.91,2.49,0,0,0.52,"D.kokeensis"
0.61,"Dkun",17.19,5.76,0.94,0,0,4.83,10.76,0,0.02,0.45,"D.kuntzei"
2.5,"Dkur",33.25,27.88,13.98,0,0,13.9,4.59,0.14,0.24,5.17,"D.kurseongensis"
1.55,"Dlaci",16.57,9.86,2.93,0,0,6.93,5.87,0,0.01,2.27,"D.lacicola"
1.37,"Dleon",17.22,9.98,4.54,0,0,5.44,7.1,0,0.01,1.54,"D.leonis"
4.63,"Dlit",38.89,32.55,16.26,0,0,16.29,5.82,0.15,0.25,6.84,"D.littoralis"
0.24,"Dlon",3.87,1.96,0.66,0,0,1.29,1.89,0.01,0.09,0.13,"D.longiperda"
2.2,"Dlow",27.43,21.84,9.12,0,0,12.72,4.46,0.13,0.43,5.67,"D.lowei"
0.63,"Dmac",7.25,3.9,1.64,0,0,2.26,3.18,0,0.01,0.29,"D.macrospina"
0.26,"Dmacr",5.26,1.34,0.68,0,0,0.66,3.86,0.03,0.02,0.15,"D.macrothrix"
0.98,"Dmacu",30.52,23.25,2.64,0,0,20.6,7.19,0,0.04,2.64,"D.maculinotata"
2.78,"Dmal_mal",33.14,30.23,12.36,0,0,17.87,2.64,0.43,0.29,4.49,"D.m.malerkotliana"
2.73,"Dmal_pal",33.15,26.77,11.25,0,0,15.52,6.15,0.3,0.19,4.4,"D.m.pallens"
2.78,"Dmal",33.59,29.6,10.94,0,0,18.66,3.51,0.33,0.19,4.33,"D.malerkotliana"
6.79,"Dmau",21.05,18.8,6.18,0,0,12.62,1.76,0.16,0.79,4.41,"D.mauritiana"
0.48,"Dmay",7.69,3.91,2.13,0,0,1.78,3.55,0.03,0.03,0.51,"D.mayaguana"
