D.bocqueti,D.orena,gtwin
D.mojavensis,D.ananassae,gtwin
D.parabipectinata,D.pseudoananassae,gtwin
D.kuntzei,D.putrida,gtwin
D.jambulina,D.fuyamai,gtwin
D.atripex,D.malerkotliana,gtwin
D.quinaria,D.gunungcola,gtwin
D.gunungcola,D.quinaria,gtwin
D.rhopaloa,D.ananassae,gtwin
D.orena,D.bocqueti,gtwin
D.bunnanda,D.ananassae,gtwin
D.santomea,D.mauritiana,gtwin
D.funebris,D.aldrichi,gtwin
D.pruinosa,D.erecta,gypsy10
D.sechellia,D.mauritiana,gypsy10
D.sordidula,D.subpulchrella,gypsy10
S.flava,D.ezoana,gypsy10
D.ezoana,S.flava,gypsy10
Z.kolodkinae,D.pruinosa,gypsy10
D.erecta,D.pruinosa,gypsy10
D.orena,D.melanogaster,gypsy10
D.santomea,D.simulans,gypsy10
D.birchii,D.jambulina,gypsy12
D.rubida,D.kepulauana,gypsy12
D.putrida,C.caudatula,gypsy12
D.varians,Z.bogoriensis,gypsy12
D.ambigua,D.bifasciata,gypsy12
D.takahashii,D.persimilis,gypsy12
D.erecta,D.bocqueti,gypsy12
D.virilis,D.ezoana,gypsy12
D.americana,D.lacicola,gypsy12
D.rhopaloa,D.bocqueti,gypsy12
D.merina,S.latifasciaeformis,gypsy12
D.gaucha,D.arawakana,gypsy12
D.quadrilineata,S.latifasciaeformis,gypsy12
D.miranda,D.ambigua,gypsy12
Z.davidi,D.pruinosa,gypsy12
D.leonis,D.buzzatii,gypsy12
D.phalerata,D.quinaria,gypsy12
H.duncani,D.colorata,gypsy12
D.testacea,D.virilis,gypsy12
D.maculinotata,D.putrida,gypsy12
C.caudatula,D.putrida,gypsy12
D.athabasca,D.ambigua,gypsy12
D.persimilis,D.lowei,gypsy12
D.pseudotakahashii,H.duncani,gypsy12
D.sechellia,D.melanogaster,gypsy12
D.simulans,D.azteca,gypsy12
C.costata,C.fuscimana,gypsy12
D.ananassae,D.bipectinata,gypsy12
D.tanythrix,S.flava,gypsy12
D.colorata,H.duncani,gypsy12
D.repletoides,D.grimshawi,gypsy12
D.parabipectinata,D.pseudoananassae,gypsy12
D.azteca,D.simulans,gypsy12
D.mimetica,D.suzukii,gypsy12
D.cyrtoloma,D.grimshawi,gypsy12
